alpha70,,alpha65,,alpha60,,alpha55,
X,Y,X,Y,X,Y,X,Y
0.18696363030592889,0.1592768841821705,0.18696363030592889,0.15404078869861182,0.18696363030592889,0.14426390580383697,0.18696363030592889,0.14426390580383697
0.19745860851528033,0.15716258004382297,0.19687555417031635,0.151287936330562,0.19687555417031635,0.1414383298874044,0.19687555417031635,0.1414383298874044
0.20795358672463177,0.1553746450006566,0.20678747803470382,0.1488756430183534,0.20678747803470382,0.13876529604806737,0.20678747803470382,0.13876529604806737
0.2184485649339832,0.15355833003617012,0.21728245624405526,0.14649172962746493,0.21728245624405526,0.13640266759816894,0.21728245624405526,0.13640266759816894
0.22894354314333465,0.15191229459960426,0.2277774344534067,0.1438807768660156,0.2277774344534067,0.13384847467935984,0.2277774344534067,0.13384847467935984
0.23943852135268606,0.15009597963511778,0.23827241266275814,0.1415820032390874,0.23827241266275814,0.13126590183923062,0.23827241266275814,0.13126590183923062
0.24993349956203753,0.1485067040411921,0.24876739087210958,0.13929741957281927,0.24899006709934826,0.12890858667769314,0.24876739087210958,0.12868332899910143
0.26042847777138894,0.14708770797518703,0.259262369081461,0.13711216563117146,0.259262369081461,0.1268528240739549,0.259262369081461,0.12608183621142546
0.2709234559807404,0.14593832116172295,0.26975734729081247,0.13523909082404478,0.26975734729081247,0.12499393922748826,0.26975734729081247,0.12380198253204401
0.2814184341900918,0.14484569419089904,0.2802523255001639,0.13343696582021836,0.2802523255001639,0.12295058489244097,0.2802523255001639,0.12173024827567662
0.29191341239944324,0.14361116761347464,0.29074730370951535,0.13171998058035225,0.29074730370951535,0.120992370321354,0.29074730370951535,0.11940309472742833
0.3024083906087947,0.1422773113114299,0.30124228191886676,0.13001718530114617,0.30124228191886676,0.11899158586828686,0.30124228191886676,0.11730298054974084
0.3129033688181462,0.14166714300304772,0.31173726012821823,0.12866913903844138,0.31173726012821823,0.1174306901956813,0.31173726012821823,0.11564275515251492
0.3233983470274976,0.14088669516674493,0.32223223833756964,0.12715081324781596,0.32223223833756964,0.11565694511317497,0.32223223833756964,0.11374130042406815
