alpha70,,alpha65,,alpha60,,alpha55,
X,Y,X,Y,X,Y,X,Y
0.5857728022612836,0.14416457607921662,0.5846066935713556,0.1173739303530411,0.5846066935713556,0.10122575512190352,0.5846066935713556,0.08839803068521777
0.596267780470635,0.14511530344344,0.595101671780707,0.11782800909416272,0.595101671780707,0.10125413504322361,0.595101671780707,0.08817099131465697
0.6067627586799864,0.14583899143710258,0.6055966499900585,0.11843817740254489,0.6055966499900585,0.10173659370566533,0.6055966499900585,0.08794395194409615
0.6172577368893379,0.14678971880132596,0.61609162819941,0.11884968626168635,0.61609162819941,0.10187849331226584,0.61609162819941,0.08794395194409615
0.6277527150986892,0.14779720600818957,0.6265866064087613,0.11940309472742833,0.6265866064087613,0.10241771181734777,0.6265866064087613,0.08760339288825494
0.6382476933080408,0.148762123333073,0.6370815846181128,0.12014097268175096,0.6370815846181128,0.10275827087318898,0.6370815846181128,0.08743311336033434
0.6487426715173922,0.14988313022521702,0.6475765628274642,0.12073695102947309,0.6475765628274642,0.1029853102437498,0.6475765628274642,0.08743311336033434
0.6592376497267436,0.15079128770746025,0.6580715410368156,0.12148901894445575,0.6580715410368156,0.1034110090635513,0.6580715410368156,0.08743311336033434
0.6697326279360951,0.15213933397016505,0.6685665192461672,0.1222268968987784,0.6685665192461672,0.10402117737193349,0.6685665192461672,0.08746149328165444
0.6802276061454464,0.15310425129504848,0.6790614974555185,0.12299315477442113,0.6790614974555185,0.10458877579833552,0.6790614974555185,0.08776836548532385
0.6907225843547979,0.15426782806917264,0.68955647566487,0.12378779257138396,0.68955647566487,0.10505704450011717,0.68955647566487,0.08794395194409615
0.7012175625641495,0.15544559480395684,0.7000514538742215,0.12445472072240635,0.7000514538742215,0.1055395031625589,0.7000514538742215,0.08811423147201677
0.7117125407735008,0.15656660169610084,0.7105464320835728,0.12532030832266944,0.7105464320835728,0.10631995099886168,0.7105464320835728,0.08819937123597707
0.7222075189828523,0.15782950819484534,0.7210414102929243,0.12639874533283327,0.7210414102929243,0.10695849922856396,0.7210414102929243,0.08839803068521777
0.7327024971922036,0.1590498448116097,0.7315363885022756,0.127165003208476,0.7315363885022756,0.10738419804836546,0.7315363885022756,0.08885210942633939
0.7431974754015551,0.1602276115463939,0.7420313667116272,0.12791707112345868,0.7420313667116272,0.10810788604202806,0.7420313667116272,0.0889656291116198
0.7536924536109066,0.16139118832051805,0.7525263449209787,0.12893874829098234,0.7525263449209787,0.10888833387833084,0.7525263449209787,0.08951903757736178
0.764187431820258,0.1626399048586025,0.76302132313033,0.12998880537982607,0.76302132313033,0.10955526202935321,0.76302132313033,0.08973188698726253
0.7746824100296095,0.1638744314360269,0.7735163013396815,0.13099629258668966,0.7735163013396815,0.11022219018037559,0.7735163013396815,0.09004406612178364
0.7851773882389608,0.16517990781675154,0.7840112795490328,0.13204634967553341,0.7840112795490328,0.11076140868545752,0.7840112795490328,0.09071099427280602
0.7956723664483123,0.16632929463021565,0.7945062577583843,0.13295450715777665,0.7945062577583843,0.11152766656110025,0.7945062577583843,0.09109412321062739
0.8061673446576638,0.16767734089292047,0.8050012359677359,0.13403294416794048,0.8050012359677359,0.11232230435806308,0.8050012359677359,0.09164753167636937
0.8166623228670151,0.1688692975883647,0.8154962141770872,0.13495529161084377,0.8154962141770872,0.11303180239106561,0.8154962141770872,0.09210161041749099
0.8271573010763666,0.17018896392974942,0.8259911923864387,0.13604791858166768,0.8259911923864387,0.11361359077812769,0.8259911923864387,0.09259825904059275
0.8376522792857182,0.17135254070387357,0.8364861705957902,0.13694188610325086,0.8364861705957902,0.11436565869311037,0.8364861705957902,0.09310909762435457
0.8481472574950695,0.1724877375566776,0.8469811488051415,0.13796356327077453,0.8469811488051415,0.11514610652941315,0.8469811488051415,0.093790215736037
0.858642235704421,0.1736938842127819,0.857476127014493,0.13895686051697806,0.857476127014493,0.11581303468043552,0.857476127014493,0.09444295392639933
0.8691372139137723,0.1748148911049259,0.8679711052238444,0.13999272764516174,0.8679711052238444,0.11660767247739837,0.8679711052238444,0.09509569211676165
0.8796321921231238,0.17606360764301035,0.8784660834331959,0.14070222567816426,0.8784660834331959,0.11730298054974084,0.8784660834331959,0.09574843030712399
0.8901271703324753,0.1771988044958144,0.8889610616425474,0.1415820032390874,0.8889610616425474,0.11798409866142326,0.8889610616425474,0.09642954841880641
0.9006221485418267,0.17822048166333804,0.8994560398518987,0.14260368040661106,0.8994560398518987,0.11856588704848535,0.8994560398518987,0.09695457696322829
0.9111171267511782,0.17936986847680214,0.9099510180612502,0.14355440777083445,0.9099510180612502,0.11923281519950772,0.9099510180612502,0.09773502479953107
0.9216121049605295,0.18066115489686674,0.9204459962706015,0.1447463644662787,0.9204459962706015,0.1200132630358105,0.9204459962706015,0.09854385255715395
0.932107083169881,0.18169702202505045,0.930940974479953,0.14566871190918199,0.930940974479953,0.12052410161957232,0.930940974479953,0.09912564094421603
0.9426020613792325,0.18266193934993388,0.9414359526893046,0.14663362923406542,0.9414359526893046,0.12134711933785526,0.9414359526893046,0.09983513897721856
0.9530970395885838,0.18355590687151707,0.9519309308986559,0.14720122766046745,0.9519309308986559,0.12197147760689749,0.9519309308986559,0.10058720689220124
0.9635920177979354,0.18469110372432113,0.9624259091080074,0.14826547470997123,0.9624259091080074,0.12246812622999925,0.9624259091080074,0.10136765472850402
0.9740869960072867,0.18568440097052466,0.9729208873173589,0.14897497274297378,0.9729208873173589,0.12289382504980077,0.9729208873173589,0.10226162225008721
0.9873524227654507,0.18670788621368078,0.9834158655267102,0.14989732018587706,0.9834158655267102,0.1234898033975229,0.9834158655267102,0.10295693032242968
0.9983091423996042,0.18757889804084135,0.9971430337096763,0.15089423358334558,0.9971430337096763,0.12397407013559711,0.997919015826358,0.10407436111561705
